name,aliases,category,subcategory,edible_pct,energy_kcal,protein_g,fat_g,carb_g,potassium_mg,phosphorus_mg,sodium_mg,calcium_mg,unit_name,unit_grams,unit_desc,note
红薯叶,,嫩茎、叶、花菜类,,100.0,27.0,3.1,0.0,5.1,115.0,38.0,0.0,180.0,100g,100,每100克可食部,
南瓜藤,,嫩茎、叶、花菜类,,100.0,17.0,1.7,0.0,3.2,303.0,53.0,0.0,14.0,100g,100,每100克可食部,
三七尖,,嫩茎、叶、花菜类,,100.0,21.0,2.3,0.2,4.0,631.0,21.0,0.0,57.0,100g,100,每100克可食部,
棠梨花,,嫩茎、叶、花菜类,,100.0,58.0,3.5,0.8,9.1,42.0,49.0,0.0,65.0,100g,100,每100克可食部,
洋丝瓜苗,,嫩茎、叶、花菜类,,81.0,29.0,4.4,0.3,2.2,224.0,72.0,0.0,77.0,100g,100,每100克可食部,
慈菇（鲜）,乌芋;白地果,水生蔬菜类,,89.0,97.0,4.6,0.2,19.9,707.0,157.0,0.0,14.0,100g,100,每100克可食部,
豆瓣菜（鲜）,西洋菜;水田芥,水生蔬菜类,,73.0,20.0,2.9,0.5,1.5,179.0,26.0,0.0,30.0,100g,100,每100克可食部,
"菱角（老,鲜）",龙角,水生蔬菜类,,57.0,101.0,4.5,0.1,21.4,437.0,93.0,0.0,7.0,100g,100,每100克可食部,
蒲菜（鲜）,香蒲;甘蒲;野茭白,水生蔬菜类,,12.0,14.0,1.2,0.1,2.4,0.0,24.0,0.0,53.0,100g,100,每100克可食部,
水芹菜,,水生蔬菜类,,60.0,13.0,1.4,0.2,1.8,212.0,32.0,0.0,38.0,100g,100,每100克可食部,
茭白（鲜）,茭笋;茭粑,水生蔬菜类,,74.0,26.0,1.2,0.2,5.9,209.0,36.0,0.0,4.0,100g,100,每100克可食部,
荸荠（鲜）,马蹄;地栗,水生蔬菜类,,78.0,61.0,1.2,0.2,14.2,306.0,44.0,0.0,4.0,100g,100,每100克可食部,
莼菜（瓶装）,花案菜,水生蔬菜类,,100.0,21.0,1.4,0.1,3.8,2.0,17.0,0.0,42.0,100g,100,每100克可食部,
藕,莲藕,水生蔬菜类,,88.0,47.0,1.2,0.2,11.5,243.0,58.0,0.0,39.0,100g,100,每100克可食部,
红菱,,水生蔬菜类,,54.0,165.0,5.7,0.3,40.9,323.0,79.0,0.0,51.0,100g,100,每100克可食部,
大薯（鲜）,参薯,薯芋类,,74.0,108.0,2.1,0.2,24.9,0.0,45.0,0.0,10.0,100g,100,每100克可食部,
豆薯（鲜）,凉薯;地瓜;沙葛,薯芋类,,91.0,56.0,0.9,0.1,13.4,111.0,24.0,0.0,21.0,100g,100,每100克可食部,
葛（鲜）,葛署;粉葛,薯芋类,,90.0,150.0,2.2,0.2,36.1,0.0,48.0,0.0,0.0,100g,100,每100克可食部,
山药（鲜）,薯蓣;大薯;淮山,薯芋类,,83.0,57.0,1.9,0.2,12.4,213.0,34.0,0.0,16.0,100g,100,每100克可食部,
山药（干）,,薯芋类,,100.0,327.0,9.4,1.0,70.8,269.0,17.0,0.0,62.0,100g,100,每100克可食部,
槟榔芋（鲜）,,薯芋类,,87.0,90.0,3.0,0.1,19.7,0.0,33.0,0.0,45.0,100g,100,每100克可食部,
芋头,芋艿;毛芋,薯芋类,,88.0,56.0,1.3,0.2,12.7,25.0,50.0,0.0,11.0,100g,100,每100克可食部,
芋头（煮）,,薯芋类,,100.0,60.0,2.9,0.1,13.0,317.0,58.0,0.0,16.0,100g,100,每100克可食部,
姜（鲜）,黄姜,薯芋类,,95.0,46.0,1.3,0.6,10.3,295.0,25.0,0.0,27.0,100g,100,每100克可食部,
姜（干）,,薯芋类,,95.0,308.0,9.1,5.7,64.0,41.0,22.0,0.0,62.0,100g,100,每100克可食部,
"姜（子姜,鲜）",嫩姜,薯芋类,,82.0,21.0,0.7,0.6,3.7,160.0,11.0,0.0,9.0,100g,100,每100克可食部,
洋姜（鲜）,菊芋;鬼子姜,薯芋类,,100.0,64.0,2.4,0.0,15.8,458.0,27.0,0.0,23.0,100g,100,每100克可食部,
艾蒿,,野生蔬菜类,,100.0,7.0,0.0,0.0,3.6,677.0,60.0,0.0,137.0,100g,100,每100克可食部,
白花菜,,野生蔬菜类,,100.0,28.0,4.0,0.0,5.0,152.0,6.0,0.0,26.0,100g,100,每100克可食部,
白花桔梗,,野生蔬菜类,,100.0,6.0,0.0,0.0,2.9,146.0,106.0,0.0,44.0,100g,100,每100克可食部,
白沙蒿（鲜）,沙蒿,野生蔬菜类,,100.0,56.0,4.3,0.9,8.5,0.0,82.0,0.0,305.0,100g,100,每100克可食部,
白沙蒿子（干）,沙蒿子,野生蔬菜类,,100.0,412.0,27.9,15.1,41.0,0.0,757.0,0.0,505.0,100g,100,每100克可食部,
白薯叶（鲜）,甘薯叶,野生蔬菜类,,100.0,60.0,4.8,0.7,9.0,495.0,40.0,0.0,174.0,100g,100,每100克可食部,
百里香（鲜）,,野生蔬菜类,,100.0,0.0,0.0,0.0,0.0,470.0,42.0,0.0,218.0,100g,100,每100克可食部,
败酱（鲜）,胭脂麻,野生蔬菜类,,100.0,69.0,1.5,1.0,17.3,456.0,113.0,0.0,235.0,100g,100,每100克可食部,
扁蓄菜（鲜）,竹节草,野生蔬菜类,,100.0,75.0,6.0,0.6,12.4,0.0,47.0,0.0,50.0,100g,100,每100克可食部,
朝鲜蓟（鲜）,,野生蔬菜类,,100.0,54.0,2.7,0.2,10.9,220.0,88.0,0.0,255.0,100g,100,每100克可食部,
刺儿菜（鲜）,小蓟;蓟蓟菜,野生蔬菜类,,100.0,42.0,4.5,0.4,5.9,253.0,40.0,0.0,252.0,100g,100,每100克可食部,
刺楸（鲜）,,野生蔬菜类,,100.0,16.0,0.0,0.0,0.0,1641.0,125.0,0.0,495.0,100g,100,每100克可食部,
达乌里胡枝子（鲜）,牛枝子;豆豆苗,野生蔬菜类,,100.0,491.0,7.0,1.0,23.1,0.0,61.0,0.0,300.0,100g,100,每100克可食部,
达乌里胡枝子子[牛枝子子，豆豆苗子）,,野生蔬菜类,,100.0,1535.0,36.8,8.3,41.7,0.0,486.0,0.0,392.0,100g,100,每100克可食部,
大玻璃草叶（鲜）,大车前,野生蔬菜类,,100.0,206.0,4.4,0.3,8.8,0.0,64.0,0.0,443.0,100g,100,每100克可食部,
大巢菜（鲜）,野苕子;野豌豆,野生蔬菜类,,100.0,264.0,3.8,0.5,13.6,0.0,70.0,0.0,270.0,100g,100,每100克可食部,
大蓟叶（鲜）,飞廉叶,野生蔬菜类,,100.0,158.0,1.5,1.4,5.5,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
地肤（鲜）,益明;扫帚苗,野生蔬菜类,,100.0,273.0,5.2,0.8,10.4,702.0,66.0,0.0,281.0,100g,100,每100克可食部,
地笋（鲜）,地古牛;地瓜儿苗叶,野生蔬菜类,,100.0,288.0,4.3,0.7,13.7,416.0,62.0,0.0,297.0,100g,100,每100克可食部,
豆腐柴（鲜）,,野生蔬菜类,,100.0,16.0,0.0,0.0,7.8,444.0,97.0,0.0,126.0,100g,100,每100克可食部,
独行菜（鲜）,,野生蔬菜类,,100.0,19.0,2.0,0.0,1.6,335.0,124.0,0.0,188.0,100g,100,每100克可食部,
"独行菜（宽,鲜）",,野生蔬菜类,,100.0,3.0,0.0,0.0,1.7,416.0,119.0,0.0,183.0,100g,100,每100克可食部,
胡枝子（鲜）,山豆子,野生蔬菜类,,0.0,138.0,5.3,2.2,29.6,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
槐花（鲜）,洋槐花;豆槐花,野生蔬菜类,,0.0,82.0,3.1,0.7,17.0,0.0,69.0,0.0,83.0,100g,100,每100克可食部,
黄麻叶（鲜）,,野生蔬菜类,,100.0,42.0,4.7,0.3,5.8,559.0,83.0,0.0,208.0,100g,100,每100克可食部,
碱蓬（鲜）,棉蓬;猪毛菜,野生蔬菜类,,0.0,33.0,2.8,0.3,5.2,0.0,34.0,0.0,480.0,100g,100,每100克可食部,
苦苦菜（鲜）,,野生蔬菜类,,100.0,42.0,2.5,0.9,6.8,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
轮叶党参,,野生蔬菜类,,0.0,0.0,0.0,0.0,0.0,89.0,87.0,0.0,68.0,100g,100,每100克可食部,
罗勒,兰香,野生蔬菜类,,0.0,26.0,3.8,0.0,4.6,576.0,65.0,0.0,285.0,100g,100,每100克可食部,
马齿苋（）鲜,长寿菜;瓜子菜,野生蔬菜类,,100.0,28.0,2.3,0.5,3.9,0.0,56.0,0.0,85.0,100g,100,每100克可食部,
马兰头（鲜）,马兰;鸡儿肠;路边菊,野生蔬菜类,,100.0,28.0,2.4,0.4,4.6,285.0,38.0,0.0,67.0,100g,100,每100克可食部,
麦瓶草（鲜）,米瓦罐,野生蔬菜类,,100.0,38.0,4.5,0.5,4.4,0.0,55.0,0.0,153.0,100g,100,每100克可食部,
牛至,,野生蔬菜类,,100.0,0.0,0.0,0.0,0.0,442.0,51.0,0.0,218.0,100g,100,每100克可食部,
牛蒡叶（鲜）,,野生蔬菜类,,100.0,42.0,4.7,0.8,5.1,0.0,61.0,0.0,242.0,100g,100,每100克可食部,
爬景天（鲜）,石头菜,野生蔬菜类,,100.0,21.0,0.6,0.7,3.5,0.0,23.0,0.0,260.0,100g,100,每100克可食部,
喷瓜,,野生蔬菜类,,100.0,1.0,0.0,0.0,0.3,203.0,35.0,0.0,74.0,100g,100,每100克可食部,
婆罗门参（白，鲜）,,野生蔬菜类,,100.0,1.0,0.0,0.0,0.3,443.0,72.0,0.0,61.0,100g,100,每100克可食部,
婆罗门参（黑，鲜）,鸦葱,野生蔬菜类,,100.0,1.0,0.0,0.1,0.0,67.0,83.0,0.0,50.0,100g,100,每100克可食部,
蒲公英叶（鲜）,黄花苗叶;孛孛丁叶,野生蔬菜类,,100.0,53.0,4.8,1.1,7.0,327.0,93.0,0.0,216.0,100g,100,每100克可食部,
掐不齐（鲜）,鸡眼草;牛黄草,野生蔬菜类,,100.0,110.0,6.1,1.4,23.6,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
清明菜（）鲜,鼠曲菜,野生蔬菜类,,100.0,49.0,3.1,0.6,8.9,0.0,66.0,0.0,218.0,100g,100,每100克可食部,
沙参叶（鲜）,白参,野生蔬菜类,,100.0,93.0,0.8,1.6,21.6,0.0,180.0,0.0,585.0,100g,100,每100克可食部,
沙蓬子（鲜）,沙米,野生蔬菜类,,100.0,349.0,21.5,8.1,50.6,0.0,542.0,0.0,686.0,100g,100,每100克可食部,
山苦荬叶（鲜）,启明菜叶,野生蔬菜类,,100.0,33.0,2.2,0.4,5.6,0.0,59.0,0.0,150.0,100g,100,每100克可食部,
食用大黄（鲜）,,野生蔬菜类,,100.0,9.0,1.6,0.0,1.5,502.0,31.0,0.0,107.0,100g,100,每100克可食部,
食用黄麻,,野生蔬菜类,,100.0,22.0,0.9,0.1,0.0,562.0,103.0,0.0,398.0,100g,100,每100克可食部,
酸模（鲜）,,野生蔬菜类,,100.0,17.0,1.7,0.2,0.0,228.0,21.0,0.0,28.0,100g,100,每100克可食部,
汤菜（鲜）,,野生蔬菜类,,100.0,24.0,1.8,0.5,3.4,239.0,27.0,0.0,131.0,100g,100,每100克可食部,
土三七（鲜）,景天三七,野生蔬菜类,,100.0,48.0,2.1,0.7,9.0,0.0,39.0,0.0,315.0,100g,100,每100克可食部,
歪头菜（鲜）,草豆;二叶萩,野生蔬菜类,,100.0,74.0,2.5,0.3,17.9,0.0,43.0,0.0,298.0,100g,100,每100克可食部,
梧桐子（鲜）,瓢儿果,野生蔬菜类,,100.0,560.0,23.6,38.8,30.1,0.0,212.0,0.0,27.0,100g,100,每100克可食部,
夏枯草（鲜）,铁色草,野生蔬菜类,,100.0,63.0,2.5,0.7,12.7,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
香椿（鲜）,香椿芽,野生蔬菜类,,76.0,50.0,1.7,0.4,10.9,172.0,147.0,0.0,96.0,100g,100,每100克可食部,
香茅,,野生蔬菜类,,100.0,17.0,1.7,0.2,0.0,599.0,62.0,0.0,120.0,100g,100,每100克可食部,
小旋花（鲜）,狗儿蔓,野生蔬菜类,,100.0,60.0,0.0,0.5,15.4,0.0,40.0,0.0,422.0,100g,100,每100克可食部,
鸭跖草（鲜）,竹叶菜;淡竹叶,野生蔬菜类,,100.0,34.0,2.8,0.3,5.7,0.0,39.0,0.0,206.0,100g,100,每100克可食部,
野葱（鲜）,沙葱;麦葱,野生蔬菜类,,100.0,36.0,2.7,0.2,6.7,0.0,43.0,0.0,279.0,100g,100,每100克可食部,
野韭菜（鲜）,山韭,野生蔬菜类,,100.0,44.0,3.7,0.9,7.2,0.0,47.0,0.0,129.0,100g,100,每100克可食部,
野菊,,野生蔬菜类,,100.0,46.0,3.2,0.5,9.0,0.0,41.0,0.0,178.0,100g,100,每100克可食部,
野蒜（鲜）,小蒜;野葱,野生蔬菜类,,82.0,34.0,1.0,0.4,7.7,231.0,38.0,0.0,89.0,100g,100,每100克可食部,
野苋菜（鲜）,假苋菜,野生蔬菜类,,100.0,62.0,5.5,0.6,9.5,0.0,93.0,0.0,610.0,100g,100,每100克可食部,
茵陈蒿（鲜）,茵陈,野生蔬菜类,,100.0,65.0,5.6,0.4,12.0,0.0,97.0,0.0,257.0,100g,100,每100克可食部,
榆钱（鲜）,,野生蔬菜类,,100.0,45.0,4.8,0.4,7.6,134.0,104.0,0.0,62.0,100g,100,每100克可食部,
珍珠花菜,,野生蔬菜类,,100.0,17.0,1.7,0.2,0.0,495.0,35.0,0.0,155.0,100g,100,每100克可食部,
紫花桔梗,,野生蔬菜类,,100.0,22.0,0.9,0.1,0.0,24.0,53.0,0.0,46.0,100g,100,每100克可食部,
紫萼香茶菜,,野生蔬菜类,,100.0,17.0,1.7,0.2,0.0,670.0,106.0,0.0,356.0,100g,100,每100克可食部,
苣荬菜（尖叶）,取荬菜;苦麻子,野生蔬菜类,,100.0,19.0,2.0,0.0,0.0,237.0,30.0,0.0,218.0,100g,100,每100克可食部,
苜蓿子（干）,紫苜蓿子,野生蔬菜类,,100.0,359.0,36.4,8.7,39.9,0.0,520.0,0.0,595.0,100g,100,每100克可食部,
茴芹（鲜）,,野生蔬菜类,,100.0,22.0,0.9,0.1,17.0,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
荞菜（鲜）,野荞,野生蔬菜类,,65.0,13.0,0.7,0.2,2.7,262.0,26.0,0.0,89.0,100g,100,每100克可食部,
蒌蒿（鲜）,,野生蔬菜类,,100.0,57.0,3.7,0.7,9.0,40.0,8.0,0.0,17.0,100g,100,每100克可食部,
蕨菜（鲜）,龙头菜;如意菜,野生蔬菜类,,100.0,42.0,1.6,0.4,9.0,292.0,50.0,0.0,17.0,100g,100,每100克可食部,
蕨菜（脱水）,,野生蔬菜类,,100.0,302.0,6.6,0.9,79.7,59.0,253.0,0.0,851.0,100g,100,每100克可食部,
蕨麻（干）,鹅绒委陵菜,野生蔬菜类,,100.0,357.0,12.6,1.4,75.0,0.0,334.0,0.0,123.0,100g,100,每100克可食部,
枸杞菜（鲜）,枸杞;地骨,野生蔬菜类,,49.0,47.0,5.6,1.1,4.5,170.0,32.0,0.0,36.0,100g,100,每100克可食部,
酢浆草（鲜）,酸酸草;酸溜溜,野生蔬菜类,,100.0,66.0,3.1,0.5,12.4,0.0,125.0,0.0,27.0,100g,100,每100克可食部,
苦苣菜,苦菜;天精菜,野生蔬菜类,,100.0,32.0,3.1,0.6,4.5,350.0,53.0,0.0,230.0,100g,100,每100克可食部,
苜蓿,草头;金花菜,野生蔬菜类,,95.0,35.0,5.0,0.7,2.9,32.0,22.0,0.0,112.0,100g,100,每100克可食部,
鱼腥草（叶）,蕺菜;臭菜,野生蔬菜类,,100.0,32.0,2.1,0.1,10.7,494.0,31.0,0.0,57.0,100g,100,每100克可食部,
鱼腥草（根）,,野生蔬菜类,,86.0,63.0,2.1,0.1,19.5,469.0,55.0,0.0,74.0,100g,100,每100克可食部,
刺五加尖,,野生蔬菜类,,74.0,69.0,4.8,1.0,10.2,458.0,85.0,0.0,176.0,100g,100,每100克可食部,
枸杞叶,,野生蔬菜类,,100.0,34.0,3.0,1.3,5.3,412.0,31.0,0.0,146.0,100g,100,每100克可食部,
灰灰菜（干、藜）,,野生蔬菜类,,100.0,312.0,18.3,1.5,56.2,2198.0,227.0,0.0,1489.0,100g,100,每100克可食部,
荆芥,,野生蔬菜类,,52.0,26.0,2.6,0.0,4.3,282.0,36.0,0.0,210.0,100g,100,每100克可食部,
草菇,大黑头细花草;稻菇,菌类,,100.0,27.0,2.7,0.2,4.3,179.0,33.0,0.0,17.0,100g,100,每100克可食部,
大红菇（干）,草质红菇,菌类,,100.0,263.0,24.4,2.8,50.9,228.0,523.0,0.0,1.0,100g,100,每100克可食部,
地衣（水浸）,,菌类,,100.0,10.0,1.5,0.0,1.8,102.0,53.0,0.0,14.0,100g,100,每100克可食部,
冬菇（干）,毛柄金线菌,菌类,,86.0,277.0,17.8,1.3,64.6,1155.0,469.0,0.0,55.0,100g,100,每100克可食部,
猴头菇（罐装）,,菌类,,100.0,21.0,2.0,0.2,4.9,8.0,37.0,0.0,19.0,100g,100,每100克可食部,
黄蘑（干）,,菌类,,89.0,203.0,16.4,1.5,40.1,1953.0,194.0,0.0,11.0,100g,100,每100克可食部,
黄蘑（水发）,,菌类,,89.0,30.0,4.3,0.4,4.8,512.0,51.0,0.0,3.0,100g,100,每100克可食部,
金针菇（鲜）,智力菇,菌类,,100.0,32.0,2.4,0.4,6.0,195.0,97.0,0.0,0.0,100g,100,每100克可食部,
金针菇（罐装）,,菌类,,100.0,26.0,1.0,0.0,6.7,17.0,23.0,0.0,14.0,100g,100,每100克可食部,
口蘑（白蘑）,,菌类,,100.0,277.0,38.7,3.3,31.6,3106.0,1655.0,0.0,169.0,100g,100,每100克可食部,
蘑菇（鲜蘑）,,菌类,,99.0,24.0,2.7,0.1,4.1,312.0,94.0,0.0,6.0,100g,100,每100克可食部,
蘑菇（干）,,菌类,,100.0,294.0,21.0,4.6,52.7,1225.0,357.0,0.0,127.0,100g,100,每100克可食部,
木耳（干）,黑木耳;云耳,菌类,,100.0,265.0,12.1,1.5,65.6,757.0,292.0,0.0,247.0,100g,100,每100克可食部,
木耳（水发）,黑木耳;云耳,菌类,,100.0,27.0,1.5,0.2,6.0,52.0,12.0,0.0,34.0,100g,100,每100克可食部,
平菇,糙皮侧耳;青蘑,菌类,,93.0,24.0,1.9,0.3,4.6,258.0,86.0,0.0,5.0,100g,100,每100克可食部,
普中红蘑（干）,,菌类,,100.0,263.0,18.4,0.7,58.1,169.0,35.0,0.0,14.0,100g,100,每100克可食部,
双孢蘑菇,洋蘑菇,菌类,,97.0,26.0,4.2,0.1,2.7,307.0,43.0,0.0,2.0,100g,100,每100克可食部,
松蘑（干）,松茸;松口蘑,菌类,,100.0,273.0,12.5,3.0,66.5,2402.0,390.0,0.0,7.0,100g,100,每100克可食部,
香菇（鲜）,香蕈;冬菇,菌类,,100.0,26.0,2.2,0.3,5.2,20.0,53.0,0.0,2.0,100g,100,每100克可食部,
香菇（干）,香蕈;冬菇,菌类,,95.0,274.0,20.0,1.2,61.7,464.0,258.0,0.0,83.0,100g,100,每100克可食部,
香杏丁蘑（干，大）,,菌类,,100.0,257.0,22.4,0.2,53.9,238.0,73.0,0.0,17.0,100g,100,每100克可食部,
香杏片口蘑（干）,,菌类,,100.0,252.0,33.4,1.5,37.6,227.0,77.0,0.0,15.0,100g,100,每100克可食部,
羊肚菌（干）,干狼肚,菌类,,100.0,321.0,26.9,7.1,43.7,1726.0,1193.0,0.0,87.0,100g,100,每100克可食部,
银耳（干）,白木耳;雪耳,菌类,,96.0,261.0,10.0,1.4,67.3,1588.0,369.0,0.0,36.0,100g,100,每100克可食部,
珍珠白蘑（干）,,菌类,,100.0,258.0,18.3,0.7,56.3,284.0,28.0,0.0,24.0,100g,100,每100克可食部,
榛蘑（干）,小蜜环菌,菌类,,100.0,329.0,17.7,10.8,54.6,4629.0,893.0,0.0,9.0,100g,100,每100克可食部,
榛蘑（水发）,,菌类,,77.0,53.0,2.8,1.1,9.4,732.0,84.0,0.0,3.0,100g,100,每100克可食部,
白蘑菇,双孢蘑菇;洋蘑菇,菌类,,100.0,29.0,3.5,0.4,3.8,350.0,93.0,0.0,6.0,100g,100,每100克可食部,
北风菌,荷叶离褶伞;一窝羊,菌类,,77.0,17.0,1.7,0.1,2.9,254.0,36.0,0.0,3.0,100g,100,每100克可食部,
茶树菇（干）,柱状田头菇;油茶菇,菌类,,100.0,309.0,23.1,2.6,56.1,2165.0,908.0,0.0,4.0,100g,100,每100克可食部,
干巴菌,,菌类,,91.0,38.0,3.8,0.4,8.0,328.0,104.0,0.0,10.0,100g,100,每100克可食部,
红奶浆菌,多汁乳菇;谷熟菌,菌类,,94.0,18.0,1.5,0.4,3.3,245.0,27.0,0.0,4.0,100g,100,每100克可食部,
黄伞菇（干）,多脂鳞伞;黄丝菌,菌类,,100.0,294.0,22.8,3.2,57.5,3128.0,566.0,0.0,4.0,100g,100,每100克可食部,
鸡腿菇（干）,毛头鬼伞,菌类,,100.0,294.0,26.7,2.0,51.8,4053.0,764.0,0.0,9.0,100g,100,每100克可食部,
鸡油菌,黄丝菌;杏菌,菌类,,92.0,26.0,2.0,0.3,5.1,339.0,44.0,0.0,12.0,100g,100,每100克可食部,
鸡枞,蚁枞;伞把菇;鸡枞菌,菌类,,96.0,19.0,2.5,0.2,2.5,102.0,38.0,0.0,4.0,100g,100,每100克可食部,
鸡枞（干）,,菌类,,100.0,297.0,32.8,3.7,44.8,173.0,73.0,0.0,8.0,100g,100,每100克可食部,
鸡枞（油炸）,油鸡枞,菌类,,100.0,646.0,4.8,66.3,10.2,367.0,232.0,0.0,28.0,100g,100,每100克可食部,
鸡枞花,,菌类,,86.0,18.0,2.3,0.3,1.8,173.0,73.0,0.0,8.0,100g,100,每100克可食部,
牛肝菌（白）,美味牛肝菌,菌类,,93.0,35.0,4.0,0.4,4.5,301.0,68.0,0.0,5.0,100g,100,每100克可食部,
牛肝菌（白、干）,美味牛肝菌,菌类,,100.0,296.0,27.8,1.6,53.3,1571.0,528.0,0.0,2.0,100g,100,每100克可食部,
牛肝菌（黑）,铜色牛肝菌,菌类,,95.0,32.0,3.6,0.2,4.8,291.0,60.0,0.0,2.0,100g,100,每100克可食部,
牛肝菌（鲜）,黄皮牛肝菌;黄皮疣柄牛肝菌;黄癞头,菌类,,97.0,32.0,4.3,0.1,5.3,224.0,49.0,0.0,2.0,100g,100,每100克可食部,
乳牛肝菌（干）,粘盖牛肝菌;松树菌,菌类,,100.0,264.0,15.3,2.8,66.0,1481.0,391.0,0.0,12.0,100g,100,每100克可食部,
牛眼睛菌（鲜）,马勃菌,菌类,,93.0,41.0,5.1,0.3,6.6,532.0,141.0,0.0,8.0,100g,100,每100克可食部,
青头菌,变绿红菇;绿菇,菌类,,95.0,20.0,2.7,0.1,3.1,269.0,52.0,0.0,4.0,100g,100,每100克可食部,
杏鲍菇,,菌类,,100.0,35.0,1.3,0.1,8.3,242.0,66.0,0.0,13.0,100g,100,每100克可食部,
血红菇（干）,,菌类,,100.0,313.0,22.4,6.7,56.0,3520.0,327.0,0.0,9.0,100g,100,每100克可食部,
元蘑（干）,亚侧耳;冬蘑;黄蘑,菌类,,100.0,245.0,22.4,6.7,56.0,3877.0,369.0,0.0,6.0,100g,100,每100克可食部,
竹荪（干）,竹笙;竹参,菌类,,100.0,248.0,17.8,3.1,60.3,11882.0,289.0,0.0,18.0,100g,100,每100克可食部,
蛹虫草（干）,,菌类,,100.0,302.0,23.7,0.0,60.9,337.0,1261.0,0.0,15.0,100g,100,每100克可食部,
发菜（干）,仙菜,藻类,,100.0,259.0,20.2,0.5,60.8,217.0,76.0,0.0,1048.0,100g,100,每100克可食部,
海带（鲜）,江白菜,藻类,,100.0,13.0,1.2,0.1,2.1,246.0,22.0,0.0,46.0,100g,100,每100克可食部,
海带,江白菜;昆布,藻类,,98.0,90.0,1.8,0.1,23.4,761.0,52.0,0.0,348.0,100g,100,每100克可食部,
海带（浸）,江白菜;昆布,藻类,,100.0,16.0,1.1,0.1,3.0,222.0,29.0,0.0,241.0,100g,100,每100克可食部,
海冻菜（干）,石花菜;冻菜,藻类,,100.0,314.0,5.4,0.1,72.9,141.0,209.0,0.0,167.0,100g,100,每100克可食部,
琼脂,紫菜胶洋粉,藻类,,100.0,311.0,1.1,0.2,76.3,11.0,7.0,0.0,100.0,100g,100,每100克可食部,
苔菜（干）,苔条;条浒苔,藻类,,100.0,167.0,19.0,0.4,26.3,410.0,302.0,0.0,185.0,100g,100,每100克可食部,
紫菜（干）,,藻类,,100.0,250.0,26.7,1.1,44.1,1796.0,350.0,0.0,264.0,100g,100,每100克可食部,
螺旋藻（干）,,藻类,,100.0,358.0,64.7,3.1,18.2,1506.0,1317.0,0.0,137.0,100g,100,每100克可食部,
裙带菜（干）,海芥菜;海木耳,藻类,,100.0,219.0,25.0,1.7,41.5,335.0,305.0,0.0,947.0,100g,100,每100克可食部,
海带菜（鲜，姑香牌）,,藻类,,100.0,112.0,1.4,7.5,15.3,44.0,27.0,0.0,201.0,100g,100,每100克可食部,
苹果（代表值）,,仁果类,,85.0,53.0,0.4,0.2,13.7,83.0,7.0,0.0,4.0,个,200,1个苹果约200g,
伏苹果,,仁果类,,86.0,48.0,0.5,0.1,11.8,78.0,7.0,0.0,15.0,100g,100,每100克可食部,
国光苹果,,仁果类,,78.0,56.0,0.3,0.3,13.3,83.0,14.0,0.0,8.0,100g,100,每100克可食部,
旱苹果,,仁果类,,96.0,34.0,0.4,0.2,8.4,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
红富士苹果,,仁果类,,85.0,49.0,0.7,0.4,11.7,115.0,11.0,0.0,3.0,100g,100,每100克可食部,
红香蕉苹果,,仁果类,,87.0,51.0,0.4,0.2,12.3,85.0,8.0,0.0,5.0,100g,100,每100克可食部,
红星苹果,,仁果类,,85.0,58.0,0.4,0.1,14.3,0.0,4.0,0.0,2.0,100g,100,每100克可食部,
红玉苹果,,仁果类,,84.0,52.0,0.2,0.2,14.7,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
红元帅苹果,,仁果类,,84.0,60.0,0.2,0.4,14.3,58.0,1.0,0.0,2.0,100g,100,每100克可食部,
黄香蕉苹果,,仁果类,,88.0,53.0,0.3,0.2,13.7,84.0,7.0,0.0,10.0,100g,100,每100克可食部,
黄元帅苹果,,仁果类,,80.0,59.0,0.2,0.3,14.7,184.0,5.0,0.0,5.0,100g,100,每100克可食部,
金元帅苹果,,仁果类,,78.0,53.0,0.2,0.1,13.3,72.0,5.0,0.0,2.0,100g,100,每100克可食部,
青香蕉苹果,,仁果类,,80.0,52.0,0.3,0.1,13.1,83.0,7.0,0.0,9.0,100g,100,每100克可食部,
秋里蒙苹果,,仁果类,,85.0,43.0,0.2,0.2,11.9,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
香玉苹果,,仁果类,,69.0,62.0,0.5,0.1,15.7,173.0,6.0,0.0,3.0,100g,100,每100克可食部,
印度苹果,,仁果类,,90.0,54.0,0.6,0.2,14.8,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
祝光苹果,,仁果类,,86.0,50.0,0.4,0.1,12.5,140.0,5.0,0.0,3.0,100g,100,每100克可食部,
倭锦苹果,,仁果类,,86.0,54.0,0.2,0.2,13.6,70.0,0.0,0.0,4.0,100g,100,每100克可食部,
苹果（罐头）,,仁果类,,100.0,41.0,0.2,0.2,10.3,50.0,8.0,0.0,26.0,个,200,1个苹果约200g,
