name,aliases,category,subcategory,edible_pct,energy_kcal,protein_g,fat_g,carb_g,potassium_mg,phosphorus_mg,sodium_mg,calcium_mg,unit_name,unit_grams,unit_desc,note
籼米（标准）,机米,稻米,,100.0,349.0,7.9,0.6,78.3,109.0,112.0,0.0,12.0,100g,100,每100克可食部,
籼米（优标）,,稻米,,100.0,350.0,8.3,1.0,77.3,64.0,85.0,0.0,8.0,100g,100,每100克可食部,
早籼,,稻米,,64.0,361.0,9.9,2.2,76.2,214.0,257.0,0.0,13.0,100g,100,每100克可食部,
早籼（标一）,,稻米,,100.0,352.0,8.8,1.0,77.2,124.0,141.0,0.0,10.0,100g,100,每100克可食部,
早籼（标二）,,稻米,,100.0,346.0,9.5,1.0,75.1,171.0,192.0,0.0,6.0,100g,100,每100克可食部,
早籼（特等）,,稻米,,100.0,347.0,9.1,0.6,76.7,108.0,141.0,0.0,6.0,100g,100,每100克可食部,
晚籼（标一）,,稻米,,100.0,346.0,7.9,0.7,77.3,112.0,140.0,0.0,9.0,100g,100,每100克可食部,
晚籼（标二）,,稻米,,100.0,344.0,8.6,0.8,75.7,146.0,141.0,0.0,6.0,100g,100,每100克可食部,
晚籼（特等）,,稻米,,100.0,342.0,8.1,0.3,76.9,107.0,104.0,0.0,6.0,100g,100,每100克可食部,
籼稻谷（红）,,稻米,,64.0,348.0,7.0,2.0,76.4,220.0,0.0,0.0,0.0,100g,100,每100克可食部,
黑米,,稻米,,100.0,341.0,9.4,2.5,72.2,256.0,356.0,0.0,12.0,100g,100,每100克可食部,
香米,,稻米,,100.0,347.0,12.7,0.9,72.4,49.0,106.0,0.0,8.0,100g,100,每100克可食部,
籼米,,稻米,,100.0,340.0,7.5,1.1,78.0,109.0,112.0,0.0,12.0,100g,100,每100克可食部,
糙米,,稻米,,100.0,348.0,7.7,2.7,75.0,230.0,304.0,0.0,10.0,100g,100,每100克可食部,
糯米,江米,稻米,,100.0,350.0,7.3,1.0,78.3,137.0,113.0,0.0,26.0,100g,100,每100克可食部,
优糯米,,稻米,,100.0,345.0,9.0,1.0,75.3,136.0,48.0,0.0,8.0,100g,100,每100克可食部,
早糯谷,,稻米,,64.0,360.0,7.1,3.2,77.0,0.0,297.0,0.0,19.0,100g,100,每100克可食部,
紫红糯米,血糯米,稻米,,100.0,346.0,8.3,1.7,75.1,219.0,183.0,0.0,13.0,100g,100,每100克可食部,
粳糯米,,稻米,,100.0,344.0,7.9,0.8,76.7,125.0,94.0,0.0,21.0,100g,100,每100克可食部,
籼糯米,,稻米,,100.0,353.0,7.9,1.1,78.0,132.0,82.0,0.0,14.0,100g,100,每100克可食部,
米饭（蒸，代表值）,,稻米,,100.0,116.0,2.6,0.3,25.9,30.0,62.0,0.0,7.0,碗,150,1平碗熟米饭约150g,
粳米饭（蒸）,,稻米,,100.0,118.0,2.6,0.3,26.2,39.0,62.0,0.0,7.0,100g,100,每100克可食部,
粳米粥,,稻米,,100.0,46.0,1.1,0.3,9.9,13.0,20.0,0.0,7.0,100g,100,每100克可食部,
籼米粉,排米粉,稻米,,100.0,356.0,7.4,0.1,81.5,14.0,62.0,0.0,6.0,100g,100,每100克可食部,
籼米粉（干，细）,,稻米,,100.0,346.0,8.0,0.1,78.3,43.0,53.0,0.0,0.0,100g,100,每100克可食部,
高蛋白豆米粉（籼米）,,稻米,,100.0,414.0,16.5,7.1,71.0,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
籼米饭（蒸）,,稻米,,100.0,117.0,3.0,0.4,26.4,21.0,0.0,0.0,6.0,100g,100,每100克可食部,
籼米粥,,稻米,,100.0,59.0,1.3,0.2,13.4,13.0,20.0,0.0,7.0,100g,100,每100克可食部,
米粉,,稻米,,100.0,349.0,0.4,0.8,85.8,19.0,45.0,0.0,11.0,100g,100,每100克可食部,
河粉,,稻米,,100.0,359.0,7.7,1.5,79.2,83.0,105.0,0.0,51.0,100g,100,每100克可食部,
玉米（鲜）,粟米,玉米,,46.0,112.0,4.0,1.2,22.8,238.0,117.0,0.0,0.0,100g,100,每100克可食部,
玉米（白，干）,,玉米,,100.0,352.0,8.8,3.8,74.7,262.0,244.0,0.0,10.0,100g,100,每100克可食部,
玉米（黄，干）,,玉米,,100.0,348.0,8.7,3.8,73.0,300.0,218.0,0.0,14.0,100g,100,每100克可食部,
玉米面（白）,,玉米,,100.0,352.0,8.0,4.5,73.1,276.0,187.0,0.0,12.0,100g,100,每100克可食部,
玉米面（强化豆粉）,,玉米,,100.0,352.0,11.8,4.9,68.3,370.0,234.0,0.0,18.0,100g,100,每100克可食部,
玉米粒（黄、干）,,玉米,,100.0,327.0,8.0,0.8,79.2,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
玉米面（黄）,,玉米,,100.0,350.0,8.5,1.5,78.4,249.0,196.0,0.0,22.0,100g,100,每100克可食部,
玉米糁（黄）,,玉米,,100.0,326.0,7.4,1.2,78.7,177.0,143.0,0.0,49.0,100g,100,每100克可食部,
玉米笋（罐头）,,玉米,,100.0,16.0,1.1,0.2,4.9,36.0,4.0,0.0,6.0,100g,100,每100克可食部,
玉米面面条,,玉米,,100.0,350.0,6.6,0.3,80.5,0.0,0.0,0.0,0.0,100g,100,每100克可食部,
